decision_id,slot_id,action,tile_id,program,request_id,reason
D000101,N20260909-S028,observe,T00016,BRIGHT,,reference feasible random policy
D000102,N20260909-S029,observe,T00005,DARK,,reference feasible random policy
D000103,N20260909-S031,observe,T00015,DARK,,reference feasible random policy
D000104,N20260909-S032,observe,T00016,DARK,,reference feasible random policy
D000105,N20260909-S033,observe,T00008,DARK,,reference feasible random policy
D000106,N20260909-S035,observe,T00002,BRIGHT,,reference feasible random policy
D000107,N20260909-S035,observe,T00011,DARK,,reference feasible random policy
D000108,N20260909-S037,observe,T00024,BRIGHT,,reference feasible random policy
D000109,N20260910-S001,observe,T00040,BRIGHT,,reference feasible random policy
D000110,N20260910-S002,observe,T00042,BRIGHT,,reference feasible random policy
D000111,N20260910-S003,observe,T00049,DARK,,reference feasible random policy
D000112,N20260910-S004,observe,T00047,DARK,,reference feasible random policy
D000113,N20260910-S005,observe,T00055,DARK,,reference feasible random policy
D000114,N20260910-S007,observe,T00060,DARK,,reference feasible random policy
D000115,N20260910-S007,observe,T00060,DARK,,reference feasible random policy
D000116,N20260910-S008,observe,T00059,DARK,,reference feasible random policy
D000117,N20260910-S009,observe,T00008,BRIGHT,,reference feasible random policy
D000118,N20260910-S010,observe,T00005,BRIGHT,,reference feasible random policy
D000119,N20260910-S012,observe,T00006,DARK,,reference feasible random policy
D000120,N20260910-S013,observe,T00008,DARK,,reference feasible random policy
D000121,N20260910-S014,observe,T00054,DARK,,reference feasible random policy
D000122,N20260910-S016,observe,T00049,DARK,,reference feasible random policy
D000123,N20260910-S017,observe,T00002,DARK,,reference feasible random policy
D000124,N20260910-S018,observe,T00063,DARK,,reference feasible random policy
D000125,N20260910-S019,observe,T00054,DARK,,reference feasible random policy
D000126,N20260910-S020,observe,T00049,DARK,,reference feasible random policy
D000127,N20260910-S021,observe,T00055,DARK,,reference feasible random policy
D000128,N20260910-S023,observe,T00004,DARK,,reference feasible random policy
D000129,N20260910-S023,observe,T00004,DARK,,reference feasible random policy
D000130,N20260910-S024,observe,T00004,DARK,,reference feasible random policy
D000131,N20260910-S025,observe,T00008,DARK,,reference feasible random policy
D000132,N20260910-S026,observe,T00062,DARK,RQ0001,reference feasible random policy
D000133,N20260910-S027,observe,T00064,DARK,,reference feasible random policy
D000134,N20260910-S028,observe,T00010,DARK,,reference feasible random policy
D000135,N20260910-S030,observe,T00002,DARK,,reference feasible random policy
D000136,N20260910-S030,observe,T00061,BRIGHT,,reference feasible random policy
D000137,N20260910-S032,observe,T00014,DARK,RQ0001,reference feasible random policy
D000138,N20260910-S033,observe,T00014,DARK,RQ0001,reference feasible random policy
D000139,N20260910-S035,observe,T00058,DARK,,reference feasible random policy
D000140,N20260910-S036,observe,T00019,BRIGHT,,reference feasible random policy
D000141,N20260910-S037,observe,T00006,DARK,,reference feasible random policy
D000142,N20260911-S001,observe,T00059,BRIGHT,,reference feasible random policy
D000143,N20260911-S001,observe,T00056,DARK,,reference feasible random policy
D000144,N20260911-S003,observe,T00061,DARK,,reference feasible random policy
D000145,N20260911-S004,observe,T00046,BRIGHT,,reference feasible random policy
D000146,N20260911-S005,observe,T00055,DARK,,reference feasible random policy
D000147,N20260911-S006,observe,T00046,BRIGHT,,reference feasible random policy
D000148,N20260911-S007,observe,T00061,DARK,,reference feasible random policy
D000149,N20260911-S008,observe,T00043,BRIGHT,,reference feasible random policy
D000150,N20260911-S009,observe,T00050,DARK,,reference feasible random policy
D000151,N20260911-S010,observe,T00047,BRIGHT,,reference feasible random policy
D000152,N20260911-S011,observe,T00059,DARK,,reference feasible random policy
D000153,N20260911-S012,observe,T00048,BRIGHT,,reference feasible random policy
D000154,N20260911-S013,observe,T00064,DARK,,reference feasible random policy
D000155,N20260911-S014,observe,T00008,DARK,,reference feasible random policy
D000156,N20260911-S015,observe,T00007,DARK,,reference feasible random policy
D000157,N20260911-S016,observe,T00063,DARK,,reference feasible random policy
D000158,N20260911-S017,observe,T00060,DARK,,reference feasible random policy
D000159,N20260911-S018,observe,T00008,DARK,,reference feasible random policy
D000160,N20260911-S019,observe,T00055,DARK,,reference feasible random policy
D000161,N20260911-S021,observe,T00059,DARK,,reference feasible random policy
D000162,N20260911-S021,observe,T00063,DARK,,reference feasible random policy
D000163,N20260911-S022,observe,T00004,DARK,,reference feasible random policy
D000164,N20260911-S023,observe,T00055,BRIGHT,,reference feasible random policy
D000165,N20260911-S025,observe,T00003,DARK,,reference feasible random policy
D000166,N20260911-S026,observe,T00005,DARK,,reference feasible random policy
D000167,N20260911-S027,observe,T00005,DARK,,reference feasible random policy
D000168,N20260911-S029,observe,T00003,DARK,,reference feasible random policy
D000169,N20260911-S030,observe,T00059,BRIGHT,,reference feasible random policy
D000170,N20260911-S031,observe,T00011,DARK,,reference feasible random policy
D000171,N20260911-S032,observe,T00010,DARK,,reference feasible random policy
D000172,N20260911-S034,observe,T00015,DARK,,reference feasible random policy
D000173,N20260911-S035,observe,T00011,DARK,,reference feasible random policy
D000174,N20260911-S036,observe,T00016,DARK,,reference feasible random policy
D000175,N20260911-S038,observe,T00021,DARK,,reference feasible random policy
D000176,N20260912-S001,observe,T00036,BRIGHT,,reference feasible random policy
D000177,N20260912-S002,observe,T00057,BRIGHT,,reference feasible random policy
D000178,N20260912-S002,observe,T00046,BRIGHT,,reference feasible random policy
D000179,N20260912-S003,observe,T00045,DARK,,reference feasible random policy
D000180,N20260912-S003,observe,T00047,DARK,,reference feasible random policy
D000181,N20260912-S004,observe,T00050,DARK,,reference feasible random policy
D000182,N20260912-S005,observe,T00057,BRIGHT,,reference feasible random policy
D000183,N20260912-S006,observe,T00060,BRIGHT,,reference feasible random policy
D000184,N20260912-S006,observe,T00063,BRIGHT,,reference feasible random policy
D000185,N20260912-S007,observe,T00060,BRIGHT,,reference feasible random policy
D000186,N20260912-S008,observe,T00059,DARK,,reference feasible random policy
D000187,N20260912-S009,observe,T00006,BRIGHT,,reference feasible random policy
D000188,N20260912-S010,observe,T00049,DARK,,reference feasible random policy
D000189,N20260912-S011,observe,T00045,BRIGHT,,reference feasible random policy
D000190,N20260912-S012,observe,T00047,BRIGHT,,reference feasible random policy
D000191,N20260912-S013,observe,T00064,DARK,,reference feasible random policy
D000192,N20260912-S014,observe,T00002,BRIGHT,,reference feasible random policy
D000193,N20260912-S014,observe,T00004,BRIGHT,,reference feasible random policy
D000194,N20260912-S015,observe,T00049,DARK,,reference feasible random policy
D000195,N20260912-S016,observe,T00055,DARK,,reference feasible random policy
D000196,N20260912-S018,observe,T00057,DARK,,reference feasible random policy
D000197,N20260912-S018,observe,T00010,BRIGHT,,reference feasible random policy
D000198,N20260912-S019,observe,T00003,DARK,,reference feasible random policy
D000199,N20260912-S021,observe,T00003,DARK,,reference feasible random policy
D000200,N20260912-S022,observe,T00007,DARK,,reference feasible random policy
D000201,N20260912-S023,observe,T00015,BRIGHT,,reference feasible random policy
D000202,N20260912-S025,observe,T00050,BRIGHT,,reference feasible random policy
D000203,N20260912-S026,observe,T00061,BRIGHT,,reference feasible random policy
D000204,N20260912-S027,observe,T00062,BRIGHT,RQ0001,reference feasible random policy
D000205,N20260912-S028,observe,T00006,DARK,,reference feasible random policy
D000206,N20260912-S029,observe,T00004,DARK,,reference feasible random policy
D000207,N20260912-S030,observe,T00014,BRIGHT,RQ0001,reference feasible random policy
D000208,N20260912-S032,observe,T00006,DARK,,reference feasible random policy
D000209,N20260912-S033,observe,T00020,BRIGHT,,reference feasible random policy
D000210,N20260912-S034,observe,T00013,BRIGHT,RQ0001,reference feasible random policy
D000211,N20260912-S034,observe,T00021,BRIGHT,,reference feasible random policy
D000212,N20260912-S035,observe,T00024,BACKUP,,reference feasible random policy
D000213,N20260912-S037,observe,T00006,BRIGHT,,reference feasible random policy
D000214,N20260912-S038,observe,T00058,BRIGHT,,reference feasible random policy
D000215,N20260912-S039,observe,T00022,BACKUP,,reference feasible random policy
D000216,N20260913-S001,observe,T00036,BACKUP,,reference feasible random policy
D000217,N20260913-S002,observe,T00057,BRIGHT,,reference feasible random policy
D000218,N20260913-S002,observe,T00053,BRIGHT,,reference feasible random policy
D000219,N20260913-S003,observe,T00052,BRIGHT,,reference feasible random policy
D000220,N20260913-S004,observe,T00043,BRIGHT,,reference feasible random policy
D000221,N20260913-S005,observe,T00003,BACKUP,,reference feasible random policy
D000222,N20260913-S006,observe,T00062,BRIGHT,RQ0001,reference feasible random policy
D000223,N20260913-S007,observe,T00061,DARK,,reference feasible random policy
D000224,N20260913-S009,observe,T00006,BRIGHT,,reference feasible random policy
D000225,N20260913-S010,observe,T00056,BRIGHT,,reference feasible random policy
D000226,N20260913-S012,observe,T00004,BRIGHT,,reference feasible random policy
D000227,N20260913-S012,observe,T00064,DARK,,reference feasible random policy
D000228,N20260913-S013,observe,T00050,DARK,,reference feasible random policy
D000229,N20260913-S014,observe,T00050,DARK,,reference feasible random policy
D000230,N20260913-S015,observe,T00006,DARK,,reference feasible random policy
D000231,N20260913-S017,observe,T00004,BRIGHT,,reference feasible random policy
D000232,N20260913-S017,observe,T00004,DARK,,reference feasible random policy
D000233,N20260913-S018,observe,T00057,DARK,,reference feasible random policy
D000234,N20260913-S019,observe,T00062,DARK,RQ0001,reference feasible random policy
D000235,N20260913-S020,observe,T00054,BRIGHT,,reference feasible random policy
D000236,N20260913-S021,observe,T00003,DARK,,reference feasible random policy
D000237,N20260913-S022,observe,T00006,DARK,,reference feasible random policy
D000238,N20260913-S024,observe,T00015,BRIGHT,,reference feasible random policy
D000239,N20260913-S025,observe,T00050,BRIGHT,,reference feasible random policy
D000240,N20260913-S026,observe,T00004,BRIGHT,,reference feasible random policy
D000241,N20260913-S027,observe,T00059,BRIGHT,,reference feasible random policy
D000242,N20260913-S028,observe,T00004,DARK,,reference feasible random policy
D000243,N20260913-S028,observe,T00050,BACKUP,,reference feasible random policy
D000244,N20260913-S029,observe,T00002,BRIGHT,,reference feasible random policy
D000245,N20260913-S030,observe,T00057,BRIGHT,,reference feasible random policy
D000246,N20260913-S030,observe,T00060,BRIGHT,,reference feasible random policy
D000247,N20260913-S031,observe,T00002,BRIGHT,,reference feasible random policy
D000248,N20260913-S031,observe,T00061,BACKUP,,reference feasible random policy
D000249,N20260913-S033,observe,T00015,BRIGHT,,reference feasible random policy
D000250,N20260913-S034,observe,T00015,BRIGHT,,reference feasible random policy
D000251,N20260913-S036,observe,T00024,BACKUP,,reference feasible random policy
D000252,N20260913-S037,observe,T00002,BACKUP,,reference feasible random policy
D000253,N20260913-S037,observe,T00005,BRIGHT,,reference feasible random policy
D000254,N20260913-S039,observe,T00030,BACKUP,,reference feasible random policy
D000255,N20260913-S039,observe,T00022,BACKUP,,reference feasible random policy
D000256,N20260914-S001,observe,T00061,BRIGHT,,reference feasible random policy
D000257,N20260914-S002,observe,T00045,BRIGHT,,reference feasible random policy
D000258,N20260914-S003,observe,T00051,DARK,,reference feasible random policy
D000259,N20260914-S004,observe,T00055,DARK,,reference feasible random policy
D000260,N20260914-S005,observe,T00053,DARK,,reference feasible random policy
D000261,N20260914-S006,observe,T00054,DARK,,reference feasible random policy
D000262,N20260914-S007,observe,T00063,BRIGHT,,reference feasible random policy
D000263,N20260914-S008,observe,T00063,BRIGHT,,reference feasible random policy
D000264,N20260914-S009,observe,T00059,DARK,,reference feasible random policy
D000265,N20260914-S010,observe,T00055,DARK,,reference feasible random policy
D000266,N20260914-S011,observe,T00054,BRIGHT,,reference feasible random policy
D000267,N20260914-S013,observe,T00055,DARK,,reference feasible random policy
D000268,N20260914-S014,observe,T00057,DARK,,reference feasible random policy
D000269,N20260914-S015,observe,T00004,BRIGHT,,reference feasible random policy
D000270,N20260914-S015,observe,T00058,DARK,,reference feasible random policy
D000271,N20260914-S016,observe,T00059,DARK,,reference feasible random policy
D000272,N20260914-S017,observe,T00002,BRIGHT,,reference feasible random policy
D000273,N20260914-S018,observe,T00050,BRIGHT,,reference feasible random policy
D000274,N20260914-S019,observe,T00063,BRIGHT,,reference feasible random policy
D000275,N20260914-S020,observe,T00004,BRIGHT,,reference feasible random policy
D000276,N20260914-S020,observe,T00059,DARK,,reference feasible random policy
D000277,N20260914-S021,observe,T00002,BRIGHT,,reference feasible random policy
D000278,N20260914-S021,observe,T00010,BRIGHT,,reference feasible random policy
D000279,N20260914-S023,observe,T00005,DARK,,reference feasible random policy
D000280,N20260914-S024,observe,T00059,BRIGHT,,reference feasible random policy
D000281,N20260914-S025,observe,T00064,BRIGHT,,reference feasible random policy
D000282,N20260914-S026,observe,T00059,BRIGHT,,reference feasible random policy
D000283,N20260914-S026,observe,T00011,BRIGHT,,reference feasible random policy
D000284,N20260914-S028,observe,T00002,BRIGHT,,reference feasible random policy
D000285,N20260914-S028,observe,T00015,BRIGHT,,reference feasible random policy
D000286,N20260914-S030,observe,T00012,BRIGHT,,reference feasible random policy
D000287,N20260914-S030,observe,T00006,BRIGHT,,reference feasible random policy
D000288,N20260914-S032,observe,T00063,BACKUP,,reference feasible random policy
D000289,N20260914-S033,observe,T00062,BACKUP,,reference feasible random policy
D000290,N20260914-S034,observe,T00008,BRIGHT,,reference feasible random policy
D000291,N20260914-S035,observe,T00021,BACKUP,,reference feasible random policy
D000292,N20260914-S036,observe,T00007,BRIGHT,,reference feasible random policy
D000293,N20260914-S037,observe,T00013,BRIGHT,,reference feasible random policy
D000294,N20260914-S037,observe,T00020,BRIGHT,,reference feasible random policy
D000295,N20260914-S038,observe,T00021,BRIGHT,,reference feasible random policy
D000296,N20260914-S039,observe,T00022,BACKUP,,reference feasible random policy
D000297,N20260915-S001,observe,T00051,DARK,,reference feasible random policy
D000298,N20260915-S002,observe,T00054,DARK,,reference feasible random policy
D000299,N20260915-S003,observe,T00051,DARK,,reference feasible random policy
D000300,N20260915-S005,observe,T00049,DARK,,reference feasible random policy
D000301,N20260915-S006,observe,T00062,DARK,,reference feasible random policy
D000302,N20260915-S007,observe,T00053,BRIGHT,,reference feasible random policy
D000303,N20260915-S007,observe,T00064,DARK,,reference feasible random policy
D000304,N20260915-S008,observe,T00047,BRIGHT,,reference feasible random policy
D000305,N20260915-S009,observe,T00047,BRIGHT,,reference feasible random policy
D000306,N20260915-S010,observe,T00051,BRIGHT,,reference feasible random policy
D000307,N20260915-S012,observe,T00048,BRIGHT,,reference feasible random policy
D000308,N20260915-S013,observe,T00059,DARK,,reference feasible random policy
D000309,N20260915-S013,observe,T00050,DARK,,reference feasible random policy
D000310,N20260915-S014,observe,T00008,BRIGHT,,reference feasible random policy
D000311,N20260915-S016,observe,T00006,BRIGHT,,reference feasible random policy
D000312,N20260915-S017,observe,T00006,BRIGHT,,reference feasible random policy
D000313,N20260915-S019,observe,T00059,DARK,,reference feasible random policy
D000314,N20260915-S019,observe,T00054,BRIGHT,,reference feasible random policy
D000315,N20260915-S021,observe,T00003,DARK,,reference feasible random policy
D000316,N20260915-S022,observe,T00004,BRIGHT,,reference feasible random policy
D000317,N20260915-S023,observe,T00011,BRIGHT,,reference feasible random policy
D000318,N20260915-S024,observe,T00007,DARK,,reference feasible random policy
D000319,N20260915-S025,observe,T00005,DARK,,reference feasible random policy
D000320,N20260915-S026,observe,T00058,BRIGHT,,reference feasible random policy
D000321,N20260915-S027,observe,T00059,BRIGHT,,reference feasible random policy
D000322,N20260915-S028,observe,T00011,BRIGHT,,reference feasible random policy
D000323,N20260915-S029,observe,T00008,DARK,,reference feasible random policy
D000324,N20260915-S031,observe,T00016,BRIGHT,,reference feasible random policy
D000325,N20260915-S032,observe,T00015,BRIGHT,,reference feasible random policy
D000326,N20260915-S033,observe,T00062,BACKUP,,reference feasible random policy
D000327,N20260915-S034,observe,T00021,BRIGHT,,reference feasible random policy
D000328,N20260915-S035,observe,T00020,BRIGHT,,reference feasible random policy
D000329,N20260915-S036,wait,,,,no open uncompleted candidate
D000330,N20260915-S037,observe,T00014,BRIGHT,,reference feasible random policy
D000331,N20260915-S038,observe,T00058,BRIGHT,,reference feasible random policy
D000332,N20260915-S039,observe,T00022,BACKUP,,reference feasible random policy
D000333,N20260916-S001,observe,T00052,BRIGHT,,reference feasible random policy
D000334,N20260916-S002,observe,T00045,BRIGHT,,reference feasible random policy
D000335,N20260916-S002,observe,T00043,BRIGHT,,reference feasible random policy
D000336,N20260916-S003,observe,T00051,BRIGHT,,reference feasible random policy
D000337,N20260916-S005,observe,T00062,BRIGHT,,reference feasible random policy
D000338,N20260916-S006,observe,T00008,BACKUP,,reference feasible random policy
D000339,N20260916-S007,observe,T00062,BRIGHT,,reference feasible random policy
D000340,N20260916-S008,observe,T00063,BRIGHT,,reference feasible random policy
D000341,N20260916-S009,observe,T00049,BRIGHT,,reference feasible random policy
D000342,N20260916-S011,observe,T00059,BRIGHT,,reference feasible random policy
D000343,N20260916-S011,observe,T00052,BRIGHT,,reference feasible random policy
D000344,N20260916-S013,observe,T00050,BRIGHT,,reference feasible random policy
D000345,N20260916-S014,observe,T00061,BRIGHT,,reference feasible random policy
D000346,N20260916-S015,observe,T00060,BRIGHT,,reference feasible random policy
D000347,N20260916-S016,observe,T00002,BRIGHT,,reference feasible random policy
D000348,N20260916-S016,observe,T00063,BRIGHT,,reference feasible random policy
D000349,N20260916-S017,observe,T00006,BRIGHT,,reference feasible random policy
D000350,N20260916-S019,observe,T00055,BRIGHT,,reference feasible random policy
D000351,N20260916-S020,observe,T00058,BRIGHT,,reference feasible random policy
D000352,N20260916-S021,observe,T00008,BRIGHT,,reference feasible random policy
D000353,N20260916-S023,observe,T00002,BRIGHT,,reference feasible random policy
D000354,N20260916-S023,observe,T00011,BRIGHT,,reference feasible random policy
D000355,N20260916-S024,observe,T00010,BRIGHT,,reference feasible random policy
D000356,N20260916-S026,wait,,,,no open uncompleted candidate
D000357,N20260916-S027,wait,,,,no open uncompleted candidate
D000358,N20260916-S028,wait,,,,no open uncompleted candidate
D000359,N20260916-S029,observe,T00006,BRIGHT,,reference feasible random policy
D000360,N20260916-S030,observe,T00003,BRIGHT,,reference feasible random policy
D000361,N20260916-S031,observe,T00062,BACKUP,,reference feasible random policy
D000362,N20260916-S032,observe,T00005,BRIGHT,,reference feasible random policy
D000363,N20260916-S034,observe,T00019,BACKUP,,reference feasible random policy
D000364,N20260916-S035,observe,T00005,BRIGHT,,reference feasible random policy
D000365,N20260916-S037,observe,T00024,BRIGHT,,reference feasible random policy
D000366,N20260916-S038,observe,T00015,BRIGHT,,reference feasible random policy
D000367,N20260916-S039,observe,T00018,BACKUP,,reference feasible random policy
D000368,N20260917-S001,observe,T00049,BRIGHT,,reference feasible random policy
D000369,N20260917-S002,observe,T00049,BRIGHT,,reference feasible random policy
D000370,N20260917-S003,observe,T00057,BRIGHT,,reference feasible random policy
D000371,N20260917-S004,observe,T00051,BRIGHT,,reference feasible random policy
D000372,N20260917-S005,observe,T00048,BRIGHT,,reference feasible random policy
D000373,N20260917-S006,wait,,,,no open uncompleted candidate
D000374,N20260917-S007,observe,T00063,BACKUP,,reference feasible random policy
D000375,N20260917-S008,observe,T00003,BACKUP,,reference feasible random policy
D000376,N20260917-S009,observe,T00056,BRIGHT,,reference feasible random policy
D000377,N20260917-S011,observe,T00059,BRIGHT,,reference feasible random policy
D000378,N20260917-S011,observe,T00063,BRIGHT,,reference feasible random policy
D000379,N20260917-S012,observe,T00003,BRIGHT,,reference feasible random policy
D000380,N20260917-S014,observe,T00007,BACKUP,,reference feasible random policy
D000381,N20260917-S014,observe,T00010,BACKUP,,reference feasible random policy
D000382,N20260917-S016,observe,T00049,BRIGHT,,reference feasible random policy
D000383,N20260917-S017,observe,T00053,BACKUP,,reference feasible random policy
D000384,N20260917-S018,observe,T00062,BRIGHT,,reference feasible random policy
D000385,N20260917-S019,observe,T00060,BRIGHT,,reference feasible random policy
D000386,N20260917-S019,observe,T00060,BRIGHT,,reference feasible random policy
D000387,N20260917-S020,observe,T00063,BRIGHT,,reference feasible random policy
D000388,N20260917-S021,observe,T00007,BRIGHT,,reference feasible random policy
D000389,N20260917-S022,observe,T00055,BACKUP,,reference feasible random policy
D000390,N20260917-S023,observe,T00010,BRIGHT,,reference feasible random policy
D000391,N20260917-S024,observe,T00004,BRIGHT,,reference feasible random policy
D000392,N20260917-S025,observe,T00057,BRIGHT,,reference feasible random policy
D000393,N20260917-S026,observe,T00050,BACKUP,,reference feasible random policy
D000394,N20260917-S027,observe,T00006,BRIGHT,,reference feasible random policy
D000395,N20260917-S028,observe,T00050,BACKUP,,reference feasible random policy
D000396,N20260917-S029,observe,T00050,BACKUP,,reference feasible random policy
D000397,N20260917-S030,observe,T00008,BRIGHT,,reference feasible random policy
D000398,N20260917-S031,observe,T00062,BACKUP,,reference feasible random policy
D000399,N20260917-S032,observe,T00002,BACKUP,,reference feasible random policy
D000400,N20260917-S033,observe,T00015,BRIGHT,,reference feasible random policy
D000401,N20260917-S034,observe,T00023,BACKUP,,reference feasible random policy
